Symbol,Date,Open,High,Low,Close,Volume,Amount,PctChange,Turnover,Source
002415,2026-04-13,750.4809173,777.8707318,748.0991943,777.6325595,64249030,2068425798.47,,,baostock
002415,2026-04-14,779.7761102,806.9277524,779.7761102,797.4008604,124315176,4133900017.47,,,baostock
002415,2026-04-15,796.6863435,797.877205,783.8250393,790.732036,57562254,1911958868.23,,,baostock
002415,2026-04-16,32.54,32.84,32.3,32.79,479349,1600607706.41,1.05,0.53,baostock
002415,2026-04-17,797.6390327,803.8315125,780.0142825,789.0648299,79890112,2654570773.16,,,baostock
002415,2026-04-20,829.0777763,840.5100467,819.312712,821.9326073,133441112,4638404768.94,,,baostock
002415,2026-04-21,821.694435,825.2670195,802.4024787,803.3551679,72940714,2473931322.63,,,baostock
002415,2026-04-22,799.3062388,808.5949585,795.7336543,800.9734449,48598202,1633804245.52,,,baostock
002415,2026-04-23,797.877205,812.8820599,794.3046205,797.6390327,49683407,1674350427.23,,,baostock
002415,2026-04-24,32.93,33.25,32.55,32.85,405259,1363939697.66,0.34,0.45,baostock
002415,2026-04-27,799.0680665,819.0745397,798.1153773,809.0713031,50032769,1701721545.0,,,baostock
002415,2026-04-28,33.26,34.43,32.93,33.9,766107,2641005784.93,2.05,0.85,baostock
002415,2026-04-29,821.694435,840.748219,816.6928167,829.0777763,58598289,2036328451.37,,,baostock
002415,2026-04-30,827.6487425,877.4267532,823.3616411,864.3272767,117530949,4226180593.81,,,baostock
002415,2026-05-06,35.93,36.34,35.04,35.29,930106,3381203623.04,-0.7,1.03,baostock
002415,2026-05-07,855.5149016,868.1380335,846.9406988,856.4675908,63023100,2268752402.45,,,baostock
002415,2026-05-08,854.5622124,854.5622124,838.366496,846.7025265,57655174,2043398379.1,,,baostock
002415,2026-05-11,852.656834,877.9030978,837.6519791,842.1772528,94613453,3393069491.8,,,baostock
002415,2026-05-12,34.61,34.76,33.8,33.81,790012,2755822924.45,-2.31,0.87,baostock
002415,2026-05-13,821.694435,826.2197087,804.7842017,821.4562627,72189171,2469167517.89,,,baostock
002415,2026-05-14,33.84,34.1,32.7,32.7,691964,2350342093.49,-3.08,0.76,baostock
002415,2026-05-15,32.88,33.33,32.27,32.37,618546,2073595063.09,-1.01,0.68,baostock
002415,2026-05-18,32.4,32.72,32.0,32.25,487055,1610547459.34,-0.37,0.54,baostock
002415,2026-05-19,782.3960055,795.7336543,775.2508365,795.0191374,52847553,1741210511.88,,,baostock
002415,2026-05-20,794.2881442,816.2163445,790.87709082,793.06991085,56430590,1851762349.12,,,baostock
002415,2026-05-21,800.13566428,807.68871105,769.9234772,770.65441721,62309800,2019419145.84,,,baostock
002415,2026-05-22,31.8,31.94,31.29,31.83,418305,1322985375.32,0.63,0.46,baostock
002415,2026-05-25,779.91299067,789.4152108,775.77099728,786.24780409,47925768,1539667238.64,,,baostock
002415,2026-05-26,32.15,32.84,31.42,32.0,663439,2119256196.53,-0.84,0.73,baostock
002415,2026-05-27,777.72017064,792.82626418,766.51242382,771.14171055,58235093,1857668919.6,,,baostock
002415,2026-05-28,31.41,31.45,30.23,30.76,889979,2739940344.19,-2.81,0.98,baostock
002415,2026-05-29,755.304677,760.1776104,734.59471005,744.58422352,75180864,2297985606.28,,,baostock
